user_id,category
0e8b9d11-9dd8-4ccf-a0b3-b1e9a611ff41,CATEGORY_A
2a6c3c34-8e3b-4eb8-8488-74b9249a3cc0,CATEGORY_A
a3e56af0-b70a-4a29-afb8-dcba5a405ac6,CATEGORY_A
a3e56af0-b70a-4a29-afb8-dcba5a405ac6,CATEGORY_B
3f70de3d-8ca9-4a23-8cb4-6a8e2c679c09,CATEGORY_A
3f70de3d-8ca9-4a23-8cb4-6a8e2c679c09,CATEGORY_B
58827814-1e6e-4adf-8026-e3d7afb620af,CATEGORY_A
58827814-1e6e-4adf-8026-e3d7afb620af,CATEGORY_B
c18abba1-0f44-4cf8-8e43-7d50efcfd6bf,CATEGORY_B
a1ccf31a-51a9-45cc-bd8a-f2d16107ce4c,CATEGORY_B
7c63e1f0-fc7b-4750-86cd-95a83036d8da,CATEGORY_B
7c63e1f0-fc7b-4750-86cd-95a83036d8da,CATEGORY_B
79a68849-2b0c-4c3e-ae75-8c0b22db5b34,CATEGORY_B
79a68849-2b0c-4c3e-ae75-8c0b22db5b34,CATEGORY_B
4b65a9c1-f838-4a53-a968-3bcf46f40c2d,CATEGORY_A
4b65a9c1-f838-4a53-a968-3bcf46f40c2d,CATEGORY_B
0bbdf350-1e63-4a34-87af-b852000e3a5b,CATEGORY_A
0bbdf350-1e63-4a34-87af-b852000e3a5b,CATEGORY_B
8e342076-9143-43bb-b0c8-38408cf3bf54,CATEGORY_A
8e342076-9143-43bb-b0c8-38408cf3bf54,CATEGORY_B
e4b61017-ccf2-44a4-ae51-d927a4b7369c,CATEGORY_A
e4b61017-ccf2-44a4-ae51-d927a4b7369c,CATEGORY_B
df52c6ea-ef8e-4c00-8b2a-a322f44ad8c6,CATEGORY_A
df52c6ea-ef8e-4c00-8b2a-a322f44ad8c6,CATEGORY_B